COD_IDCONTRA,COD_PERSONA,FAP_CONTR,IMP_CAPDIS,IMP_CAPINI,IMP_CAPPEN
00000000000000000017212765,132600,28JUN2000,48080.97,48080.97,21366.07
00000000000000000367527279,136420,22DEC2016,150000.00,150000.00,0.00
00000000000000000265335097,140280,15OCT2015,13000.00,13000.00,7079.03
00000000000000000366502754,140280,22DEC2016,440000.00,440000.00,440000.00
00000100000000000241557505,140280,21JUL2014,75000.00,75000.00,0.00
00000100000000000241558090,140280,21JUL2014,75000.00,75000.00,0.00
00000100000000000241558550,140280,21JUL2014,75000.00,75000.00,0.00
00000100000000000241580727,140280,24JUL2014,75000.00,75000.00,0.00
00000100000000000250283330,140280,19JAN2015,75000.00,75000.00,0.00
00000100000000000252449936,140280,25FEB2015,75000.00,75000.00,0.00
00000100000000000255763194,140280,27APR2015,75000.00,75000.00,0.00
00000100000000000257515441,140280,26MAY2015,75000.00,75000.00,0.00
00000100000000000257634343,140280,26MAY2015,75000.00,75000.00,0.00
00000000000000000273302363,141085,29JAN2016,7527.04,7527.04,3236.94
00000000000000000362126802,142282,10OCT2016,0.00,540.35,90.05
00000000000000000266315478,143312,24NOV2015,63266.88,63266.88,33220.95
00000000000000000370074978,143312,31JAN2017,6000.00,6000.00,0.00
00000000000000000372759652,143312,09MAR2017,6000.00,6000.00,6000.00
00000000000000000356871118,143693,22JUL2016,10000.00,10000.00,0.00
00000000000000000018313762,145984,17MAY2004,48000.00,48000.00,8189.90
00000000000000000254578796,150097,15APR2015,50000.00,50000.00,18751.60
00000000000000000021934134,150295,20SEP2006,60000.00,60000.00,43364.87
00000000000000000195686569,151221,02OCT2013,6491.27,6491.27,0.00
00000000000000000360661144,151221,29SEP2016,18428.08,18428.08,17352.30
00000000000000000244268116,152184,26SEP2014,20000.00,20000.00,0.00
00000000000000000356755666,153041,19JUL2016,60000.00,60000.00,0.00
00000000000000000365091329,153041,24NOV2016,150000.00,150000.00,133708.34
00000000000000000370179866,153041,07FEB2017,90000.00,90000.00,87561.44
00000000000000000018258976,157137,28JAN2009,182423.14,418000.00,118492.52
00000000000000000058321618,157137,29OCT2003,6544.95,6544.95,0.00
00000000000000000021790577,170829,17FEB1998,18030.36,18030.36,1117.48
00000000000000000358305957,170873,09AUG2016,20000.00,20000.00,18819.61
00000000000000000017300958,171724,26FEB2004,139139.05,110000.00,99988.31
00000000000000000261132030,171724,23JUL2015,1500.00,1500.00,0.00
00000000000000000359592194,171724,06SEP2016,0.00,0.00,0.00
00000000000000000359765855,171724,09SEP2016,0.00,0.00,0.00
00000000000000000361633449,171724,02NOV2016,12000.00,12000.00,11294.06
00000000000000000368040357,175910,02JAN2017,0.00,559.00,512.42
00000000000000000359128632,179150,16MAY2006,0.00,151460.50,150510.67
00000000000000000359154126,179150,16MAY2006,154420.04,141604.81,150510.67
00000000000000000021833783,180794,14NOV2000,65459.81,48080.97,27841.32
00000000000000000018068305,185282,21SEP2004,221000.00,154000.00,170587.19
00000000000000000155062815,185282,08AUG2012,11083.12,11083.12,0.00
00000000000000000369246753,185282,19JAN2017,19212.94,19212.94,18829.15
00000000000000000021752658,185931,30MAR2001,64608.80,64608.80,0.00
00000000000000000021672637,190344,30NOV2005,83000.00,83000.00,59668.80
00000000000000000247244438,193587,21NOV2014,80000.00,80000.00,18700.15
00000000000000000372619482,193587,14MAR2017,100000.00,100000.00,100000.00
00000000000000000246461689,198084,07NOV2014,10000.00,10000.00,3443.50
