COD_PERSONA;COD_AREANEGO;COD_EDAD;COD_OFICIPAL;COD_SEGLOBAL;estado_cli
290841;13;55;4106;24;A
291042;13;99;1270;23;A
291339;13;55;2212;24;A
291519;13;81;6790;23;A
292204;13;45;2389;24;A
292630;13;89;2249;23;A
292966;13;48;1514;24;A
293061;6057;55;9622;24;I
293067;13;72;407;23;A
293298;13;26;2378;25;A
293336;13;58;440;24;I
293338;6057;56;2956;14;R
293615;13;75;6065;23;A
294128;13;38;4001;80;A
294154;13;70;2842;22;A
294771;6057;56;8248;24;I
294835;6057;59;6054;23;I
295080;13;73;399;22;A
295284;6057;44;541;24;M
295779;13;74;626;22;A
296124;6057;49;1600;24;A
296742;6057;55;8248;24;R
296946;13;85;1190;14;A
297177;13;76;4273;23;A
297249;13;40;7218;87;A
297270;6057;51;2104;15;I
297341;13;93;5361;23;A
297411;13;36;1300;24;R
297682;13;82;5360;23;I
297877;13;40;1443;87;A
297944;6057;53;8248;24;I
298082;13;78;293;23;A
298757;6057;37;9894;24;I
298839;6057;44;6049;24;I
298992;13;82;6242;14;A
299201;13;83;4453;23;A
